漢字,訓読み
變,か（える）
顯,あらわ（れる）
觀,み（せる）
讓,せ（める）
乂,おさ（める）
乂,すぐ（れる）
屮,めば（える）
亢,きわ（める）
仆,たお（れる）
仂,つと（める）
夬,き（める）
夬,わ（ける）
尹,おさ（める）
扎,かま（える）
丕,う（ける）
艾,おさ（める）
冱,さ（える）
刎,くびは（ねる）
刎,は（ねる）
并,あわ（せる）
扛,あ（げる）
扣,ひか（える）
朶,しだ（れる）
聿,おさ（める）
聿,の（べる）
芒,つか（れる）
佚,のが（れる）
兌,か（える）
劬,つか（れる）
劭,つと（める）
甸,おさ（める）
吼,ほ（える）
吮,な（める）
吩,いいつ（ける）
忸,な（れる）
忰,やつ（れる）
扼,おさ（える）
找,たず（ねる）
抒,の（べる）
抖,あ（げる）
抛,な（げる）
肛,は（れる）
沍,か（れる）
沛,たお（れる）
狃,な（れる）
旰,く（れる）
侑,すす（める）
侑,たす（ける）
凭,もた（れる）
刮,こそ（げる）
劼,つと（める）
咎,とが（める）
咐,いいつ（ける）
咆,ほ（える）
忝,はずかし（める）
怕,おそ（れる）
怺,こら（える）
拗,こじ（れる）
拗,す（ねる）
拗,ねじ（ける）
拌,かきま（ぜる）
拌,さ（ける）
拌,す（てる）
拊,な（でる）
抬,もた（げる）
抬,もちあ（げる）
枉,ま（げる）
肬,は（れる）
沮,も（れる）
泄,な（れる）
泄,も（れる）
炒,いた（める）
狎,な（れる）
刱,はじ（める）
幷,あわ（せる）
拋,な（げる）
卹,うれ（える）
卻,しりぞ（ける）
俔,たと（える）
俛,ふ（せる）
剏,はじ（める）
剋,き（める）
咥,くわ（える）
奕,うれ（える）
屏,しりぞ（ける）
峙,そな（える）
峙,たくわ（える）
弭,や（める）
徇,とな（える）
怱,あわ（てる）
恟,おそ（れる）
恍,とぼ（ける）
恤,うれ（える）
恂,おそ（れる）
挂,か（ける）
拯,たす（ける）
拵,こしら（える）
柬,えりわ（ける）
柎,つ（ける）
爰,か（える）
紆,ま（げる）
牴,ふ（れる）
炸,さ（ける）
炸,はじ（ける）
眇,すが（める）
眄,なが（める）
疣,は（れる）
荅,こた（える）
茹,ゆ（でる）
荐,かさ（ねる）
衍,あふ（れる）
臾,すす（める）
臾,ひきと（める）
俶,すぐ（れる）
俶,はじ（める）
倡,とな（える）
俯,ふ（せる）
冓,かま（える）
哮,ほ（える）
圄,とら（える）
宦,つか（える）
悚,おそ（れる）
悄,うれ（える）
悛,あらた（める）
悖,みだ（れる）
悒,うれ（える）
挈,ひっさ（げる）
捐,あた（える）
捐,す（てる）
捏,こ（ねる）
捏,つく（ねる）
蚩,みだ（れる）
涅,くろ（める）
涅,そ（める）
紊,みだ（れる）
紜,みだ（れる）
烝,すす（める）
訌,みだ（れる）
眩,く（れる）
耄,おいぼ（れる）
耄,ほう（ける）
秧,う（える）
舐,な（める）
衄,くじ（ける）
偃,ふ（せる）
偃,や（める）
勗,つと（める）
婬,たわむ（れる）
悸,おそ（れる）
悴,やつ（れる）
惘,あき（れる）
掖,たす（ける）
掀,あ（げる）
掀,かか（げる）
捫,な（でる）
晤,うちと（ける）
閊,つか（える）
桀,すぐ（れる）
脩,おさ（める）
跂,つまだ（てる）
淹,い（れる）
淹,つ（ける）
涵,い（れる）
涸,か（れる）
淅,よな（げる）
紮,から（げる）
訝,むか（える）
勒,おさ（える）
勒,おさ（める）
痊,い（える）
萃,あつ（める）
萃,やつ（れる）
覓,もと（める）
貶,おとし（める）
貶,しりぞ（ける）
逑,あつ（める）
逋,に（げる）
逋,のが（れる）
竟,きわ（める）
翊,たす（ける）
翊,とびこ（える）
勖,つと（める）
屛,しりぞ（ける）
悤,あわ（てる）
啣,くわ（える）
堙,うず（める）
奠,さだ（める）
奠,そな（える）
孳,つと（める）
嵌,ちりば（める）
嵌,は（める）
幇,たす（ける）
惶,おそ（れる）
惴,おそ（れる）
掾,たす（ける）
揀,わ（ける）
揉,た（める）
揉,も（める）
敝,おとろ（える）
敝,つか（れる）
敝,やぶ（れる）
閔,うれ（える）
閔,つと（める）
跋,こ（える）
渙,と（ける）
渟,と（める）
湎,おぼ（れる）
渝,あふ（れる）
渝,か（える）
