漢字,訓読み
呪,のろ（う）
呪,まじな（う）
采,と（る）
弥,つくろ（う）
弥,わた（る）
拉,くじ（く）
拉,ひ（く）
拉,ひし（ぐ）
苛,さいな（む）
玩,もてあそ（ぶ）
咽,の（む）
咽,むせ（ぶ）
咽,むせ（る）
拭,ぬぐ（う）
拭,ふ（く）
怨,うら（む）
拶,せま（る）
剥,は（ぐ）
剥,と（る）
剥,む（く）
剝,は（ぐ）
剝,と（る）
剝,む（く）
捗,はかど（る）
哺,はぐく（む）
哺,ふく（む）
捉,と（る）
凄,すご（む）
挫,くじ（く）
挨,お（す）
挨,ひら（く）
唄,うた（う）
戚,いた（む）
爽,たが（う）
貪,むさぼ（る）
萎,しぼ（む）
捻,ねじ（る）
捻,ひね（る）
淫,ふけ（る）
淫,みだ（す）
頃,しばら（く）
斬,き（る）
曽,ま（す）
崖,かどだ（つ）
椎,う（つ）
湧,わ（く）
喩,さと（す）
喩,よろこ（ぶ）
貼,は（る）
須,しばら（く）
須,すべから（く）
須,ま（つ）
喻,さと（す）
喻,よろこ（ぶ）
睦,むつ（ぶ）
睦,むつ（む）
頓,つまず（く）
嗅,か（ぐ）
填,ふさ（ぐ）
賂,まいな（う）
毀,こぼ（つ）
毀,こわ（す）
毀,そし（る）
毀,やぶ（る）
慄,おのの（く）
嫉,そね（む）
嫉,にく（む）
嫉,ねた（む）
蓋,おお（う）
傲,あそ（ぶ）
傲,あなど（る）
傲,おご（る）
詮,えら（ぶ）
詣,いた（る）
詣,まい（る）
塞,ふさ（ぐ）
塞,せ（く）
楷,のっと（る）
羨,うらや（む）
羨,あま（る）
塡,ふさ（ぐ）
煎,い（る）
煎,に（る）
蔑,さげす（む）
遡,さかのぼ（る）
綻,ほころ（ぶ）
遜,へりくだ（る）
遜,ゆず（る）
潰,つぶ（す）
摯,と（る）
蔽,おお（う）
嘲,あざけ（る）
嘲,からか（う）
罵,ののし（る）
稽,とどこお（る）
餌,く（う）
𥡴,とどこお（る）
錮,ふさ（ぐ）
諧,かな（う）
諧,ととの（う）
曖,おお（う）
曖,かげ（る）
戴,いただ（く）
臆,おしはか（る）
蹴,け（る）
艶,うらや（む）
鬱,しげ（る）
鬱,ふさ（ぐ）
卜,うらな（う）
叉,こまぬ（く）
叉,こまね（く）
叉,さ（す）
之,ゆ（く）
云,い（う）
允,ゆる（す）
帀,めぐ（る）
叶,かな（う）
匝,めぐ（る）
叩,たた（く）
叩,はた（く）
亘,わた（る）
亙,わた（る）
牟,な（く）
牟,むさぼ（る）
托,お（く）
托,お（す）
托,たの（む）
伍,いつ（つ）
此,か（く）
凪,な（ぐ）
弛,たゆ（む）
弛,たる（む）
弛,ゆる（む）
吃,く（う）
吃,す（う）
吃,ども（る）
吊,つ（る）
吊,つる（す）
曳,ひ（く）
匡,すく（う）
匡,ただ（す）
尖,とが（る）
夷,ころ（す）
舛,そむ（く）
佃,たがや（す）
