漢字,訓読み
留,"と（まる）,と（める）,とど（まる）,とど（める）"
格,"いた（る）,う（つ）,ただ（す）"
造,"つく（る）,いた（る）,な（る）,はじ（める）"
個,
破,"やぶ（る）,やぶ（れる）,わ（れる）"
容,"い（れる）,ゆる（す）"
益,ま（す）
師,
責,せ（める）
術,
授,"さず（かる）,さず（ける）"
略,"おか（す）,おさ（める）,はか（る）,はぶ（く）"
設,"もう（ける）,しつら（える）,たと（い）,も（し）"
張,は（る）
務,"つと（まる）,つと（める）,あなど（り）,あなど（る）,つと（め）"
率,"ひき（いる）,おおむ（ね）,したが（う）"
情,なさ（け）
貧,まず（しい）
接,"つ（ぐ）,は（ぐ）,まじ（わる）,もてな（す）"
断,"ことわ（る）,た（つ）,さだ（める）"
常,
得,"え（る）,う（る）"
採,と（る）
混,"こ（む）,ま（ざる）,ま（じる）,ま（ぜる）"
寄,"よ（せる）,よ（る）"
規,ただ（す）
眼,
移,"うつ（す）,うつ（る）"
経,"へ（る）,おさ（める）,た（つ）"
液,
険,けわ（しい）
基,もと（づく）
現,"あらわ（す）,あらわ（れる）"
許,"ゆる（す）,ばか（り）"
救,"すく（う）,たす（ける）"
婦,
停,"とど（まる）,と（まる）"
堂,
提,"さ（げる）,ひっさ（げる）"
過,"す（ぎる）,す（ごす）,あやま（ち）,あやま（つ）,よぎ（る）"
検,"あらた（める）,しら（べる）"
測,はか（る）
程,
絶,"た（える）,た（つ）,た（やす）,はなは（だ）,わた（る）"
属,つ（く）
貸,か（す）
統,"す（べる）,おさ（める）"
税,
証,"あか（し）,あか（す）"
貿,あきな（う）
報,"むく（いる）,しら（せる）"
象,かたど（る）
喜,よろこ（ぶ）
費,"つい（える）,つい（やす）"
復,"かえ（す）,かえ（る）,ふたた（び）"
営,いとな（む）
評,"あげつら（う）,はか（る）"
減,"へ（らす）,へ（る）"
備,"そな（える）,そな（わる）,つぶさ（に）"
貯,たくわ（える）
夢,
飼,"か（う）,やしな（う）"
豊,ゆた（か）
墓,
解,"と（かす）,と（く）,と（ける）,さと（る）,ほぐ（れる）,ほつ（れる）,ほど（く）,ほど（ける）,わか（る）"
幹,
禁,"いさ（める）,い（む）,とど（める）"
準,なぞら（える）
罪,
勢,いきお（い）
資,たす（ける）
損,"そこ（なう）,そこ（ねる）,へ（る）"
鉱,
義,よ（い）
演,"おこな（う）,の（べる）"
構,"かま（う）,かま（える）"
酸,"す（い）,つら（い）"
精,"くわ（しい）,しら（げる）"
像,かたど（る）
製,つく（る）
複,かさ（ねる）
際,まじ（わる）
雑,"ま（じる）,ま（ぜる）"
歴,へ（る）
態,わざ（と）
適,"かな（う）,ゆ（く）"
境,
銅,
領,"う（ける）,おさ（める）"
増,"ふ（える）,ふ（やす）,ま（す）"
総,"すべ（て）,す（べる）"
慣,"な（らす）,な（れる）"
綿,つら（なる）
質,ただ（す）
賞,"ほ（める）,め（でる）"
賛,"たす（ける）,たた（える）,ほ（める）"
確,"たし（か）,たし（かめる）,かた（い）,しか（と）,しっか（り）"
編,あ（む）
導,みちび（く）
暴,"あば（れる）,あば（く）,あら（い）,あら（わす）,さら（す）,にわ（か）"
